ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,gaji_min,gaji_max
Badan Pelindungan Pekerja Migran Indonesia,CPNS,PUTRA/PUTRI KALIMANTAN,MANGGALA INFORMATIKA AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT DATA DAN INFORMASI,1,6862100,7206358
Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,MANGGALA INFORMATIKA AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT DATA DAN INFORMASI,4,6862100,7206358
Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA DKI JAKARTA,1,6862100,7746358
Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA TENGAH,1,6862100,7746358
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI SUMATERA BARAT,22,2785700,6104700
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,STAIN MAJENE,3,2785700,6104700
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,UIN DATOKARAMA PALU,3,2785700,6104700
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,UIN RADEN MAS SAID SURAKARTA,2,2785700,6104700
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,UIN SUNAN GUNUNG DJATI BANDUNG,8,2785700,6104700
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,UIN SUNAN KALIJAGA YOGYAKARTA,7,2785700,6104700
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,UIN SALATIGA,3,2785700,6104700
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,UIN FATMAWATI SUKARNO BENGKULU,3,2785700,6104700
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,STAIN MANDAILING NATAL,2,2785700,6104700
Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI SUMATERA SELATAN,14,2785700,6104700
Pemerintah Kab. Kapuas Hulu,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kab. Kapuas hulu | Dinas Pendidikan dan Kebudayaan | Bidang Ketenagaan Kependidikan Dasar,1,2785700,3285700
Pemerintah Kab. Kapuas Hulu,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kab. Kapuas hulu | Sekretariat Daerah | Asisten Administrasi Umum | Bagian Umum,1,2785700,3285700
Pemerintah Kab. Kapuas Hulu,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kab. Kapuas hulu | Badan Kepegawaian dan Pengembangan Sumber Daya Manusia | Bidang Mutasi dan Promosi ASN,1,2785700,3285700
Pemerintah Kab. Kapuas Hulu,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kab. Kapuas hulu | Sekretariat Daerah | Asisten Administrasi Umum | Bagian Perencanaan dan Keuangan,1,2785700,3285700
Pemerintah Kab. Karimun,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KAB. KARIMUN | DINAS PEMBERDAYAAN MASYARAKAT DAN DESA | SEKRETARIAT DINAS PEMBERDAYAAN MASYARAKAT DAN DESA | SUB BAGIAN UMUM DAN KEPEGAWAIAN,1,2228560,4326186
Pemerintah Kab. Karimun,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KAB. KARIMUN | DINAS PERIKANAN | SEKRETARIAT DINAS PERIKANAN | SUB BAGIAN UMUM DAN KEPEGAWAIAN,1,2228560,4326186
Pemerintah Kab. Kayong Utara,CPNS,UMUM,MANGGALA INFORMATIKA AHLI PERTAMA,"Pemerintah Kabupaten Kayong Utara | Dinas Komunikasi Dan Informatika | Bidang Penyelenggaraan Pemerintahan Berbasis Elektronik | Seksi Infrastruktur, Teknologi Dan Persandian",1,2000000,6000000
Pemerintah Kab. Kayong Utara,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kayong Utara | Sekretariat Daerah | Asisten Perekonomian Dan Pembangunan | Bagian Pengadaan Barang dan Jasa,1,2000000,5000000
Pemerintah Kab. Kendal,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KENDAL | BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,1,3000000,3700000
Pemerintah Kab. Kendal,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KENDAL | BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH | BIDANG PERBENDAHARAAN DAN AKUNTANSI | SUB BIDANG AKUNTANSI DAN PELAPORAN,1,3000000,3700000
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Badan Perencanaan Pembangunan Daerah | Sekretariat,1,2785700,3785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Dinas Komunikasi dan Informatika | Bidang Informatika,1,2785700,3785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Inspektorat | Sekretariat,1,2785700,3785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Dinas Komunikasi dan Informatika | Bidang Komunikasi,1,2785700,3785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Dinas Perumahan dan Kawasan Pemukiman | Sekretariat,1,2785700,3785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Dinas Pekerjaan Umum dan Penataan Ruang | Sekretariat,1,2785700,2785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Badan Kepegawaian dan Pengembangan Sumber Daya Manusia | Bidang Kepegawaian,1,2785700,3785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Dinas Kependudukan dan Pencatatan Sipil | Sekretariat,1,2785700,3785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Dinas Perhubungan | Sekretariat,1,2785700,3785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Badan Keuangan Daerah | Sekretariat,1,2785700,3785700
Pemerintah Kab. Kep. Mentawai,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kabupaten Kepulauan Mentawai | Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu | Sekretariat,1,2785700,3785700
Pemerintah Kab. Kepulauan Anambas,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KEPULAUAN ANAMBAS | SEKRETARIAT DAERAH | ASISTEN ADMINISTRASI UMUM | BAGIAN UMUM,1,2785700,7685700
Pemerintah Kab. Kepulauan Anambas,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KEPULAUAN ANAMBAS | DINAS PERPUSTAKAAN DAN ARSIP DAERAH | SEKRETARIAT DINAS PERPUSTAKAAN DAN ARSIP DAERAH,1,2785700,7685700
Pemerintah Kab. Kepulauan Anambas,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KEPULAUAN ANAMBAS | BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH | BIDANG PENGELOLAAN PENDAPATAN ASLI DAERAH,1,2785700,7685700
Pemerintah Kab. Kepulauan Anambas,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KEPULAUAN ANAMBAS | SEKRETARIAT DAERAH | ASISTEN ADMINISTRASI UMUM | BAGIAN ORGANISASI,1,2785700,7685700
Pemerintah Kab. Kepulauan Anambas,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KEPULAUAN ANAMBAS | SEKRETARIAT DPRD | BAGIAN UMUM DAN KEUANGAN,1,2785700,7685700
Pemerintah Kab. Kepulauan Meranti,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"PEMERINTAH KABUPATEN KEPULAUAN MERANTI | DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN",1,3000000,4000000
Pemerintah Kab. Kepulauan Sula,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kab. Kepulauan Sula | DINAS KOMUNIKASI DAN INFORMATIKA,2,2785700,3200000
Pemerintah Kab. Kepulauan Tanimbar,CPNS,PENYANDANG DISABILITAS,PRANATA KOMPUTER AHLI PERTAMA,KABUPATEN KEPULAUAN TANIMBAR | BADAN KEPEGAWAIAN DAN PENGEMBANGAN SDM | BIDANG MUTASI,1,1000000,2785700
Pemerintah Kab. Kepulauan Tanimbar,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KABUPATEN KEPULAUAN TANIMBAR | DINAS PARIWISATA | SEKRETARIS | Subbagian Umum dan Kepegawaian,1,1000000,2785700
Pemerintah Kab. Kepulauan Tanimbar,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KABUPATEN KEPULAUAN TANIMBAR | SEKRETARIAT DAERAH | ASISTEN PEREKONOMIAN DAN PEMBANGUNAN | KEPALA BAGIAN PEREKONOMIAN DAN SUMBER DAYA ALAM | Subbagian Perekonomian,1,1000000,3203600
Pemerintah Kab. Kepulauan Tanimbar,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KABUPATEN KEPULAUAN TANIMBAR | DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL | BIDANG PENGELOLAAN INFORMASI DAN PEMANFAATAN DATA KEPENDUDUKAN,1,1000000,2785700
Pemerintah Kab. Kepulauan Tanimbar,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KABUPATEN KEPULAUAN TANIMBAR | BADAN KEPEGAWAIAN DAN PENGEMBANGAN SDM | BIDANG MUTASI,1,1000000,2785700
Pemerintah Kab. Kepulauan Tanimbar,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"KABUPATEN KEPULAUAN TANIMBAR | DINAS KOPERASI, USAHA KECIL, MENENGAH DAN TRANSMIGRASI | Sekretariat | Sub Bagian Umum dan Kepegawaian",1,1000000,2785700
Pemerintah Kab. Kepulauan Tanimbar,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KABUPATEN KEPULAUAN TANIMBAR | DINAS KOMUNIKASI DAN INFORMATIKA | BIDANG INFORMASI KOMUNIKASI PUBLIK DAN STATISTIK,1,1000000,2785700
Pemerintah Kab. Kepulauan Tanimbar,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KABUPATEN KEPULAUAN TANIMBAR | BADAN KESATUAN BANGSA DAN POLITIK | SEKRETARIAT | SUBBAGIAN UMUM DAN KEPEGAWAIAN,1,1000000,2785700
Pemerintah Kab. Kepulauan Tanimbar,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KABUPATEN KEPULAUAN TANIMBAR | DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL | BIDANG PENDAFTARAN PENDUDUK,1,1000000,2785700
Pemerintah Kab. Kerinci,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KERINCI | SEKRETARIS DAERAH | DINAS PERPUSTAKAAN DAN KEARSIPAN | BIDANG KEARSIPAN,3,2785700,6331513
Pemerintah Kab. Kerinci,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KERINCI | SEKRETARIS DAERAH | DINAS PEMUDA DAN OLAHRAGA | SEKRETARIAT | SUB BAGIAN UMUM DAN KEPEGAWAIAN,1,2785700,6331513
Pemerintah Kab. Kerinci,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KERINCI | SEKRETARIS DAERAH | DINAS KOMUNIKASI DAN INFORMATIKA | BIDANG PENGELOLAAN INFORMASI DAN KOMUNIKASI PUBLIK,2,2785700,6331513
Pemerintah Kab. Kerinci,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KERINCI | SEKRETARIS DAERAH | DINAS TANAMAN PANGAN DAN HORTIKULTURA | SEKRETARIAT | SUB BANGIAN UMUM DAN KEPEGAWAIAN,1,2785700,6331513
Pemerintah Kab. Kerinci,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KERINCI | SEKRETARIS DAERAH | BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH | BIDANG PEREBENDAHARAAN,1,2785700,6331513
Pemerintah Kab. Kerinci,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KERINCI | SEKRETARIS DAERAH | BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH | BIDANG ANGGARAN,1,2785700,6331513
Pemerintah Kab. Kerinci,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KERINCI | SEKRETARIS DAERAH | DINAS KOMUNIKASI DAN INFORMATIKA | KEPALA BIDANG LAYANAN E-GOVERNMENT,1,2785700,6331513
Pemerintah Kab. Konawe,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KONAWE | BADAN KESATUAN BANGSA DAN POLITIK | SEKRETARIS BADAN KESATUAN BANGSA DAN POLITIK,1,3000000,5000000
Pemerintah Kab. Konawe Selatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"Pemerintah Kab. Konawe Selatan | Sekretariat Daerah Kab. Konawe Selatan | Dinas Komunikasi, Informatika dan Persandian | Bidang Aplikasi, Teknologi Informasi dan Komunikasi",2,2785700,3585700
Pemerintah Kab. Konawe Selatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Pemerintah Kab. Konawe Selatan | Sekretariat Daerah Kab. Konawe Selatan | Badan Penanggulangan Bencana Daerah | Sekretariat Badan Penanggulangan Bencana Daerah,1,2785700,3585700
Pemerintah Kab. Kotabaru,CPNS,PENYANDANG DISABILITAS,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | DINAS PERPUSTAKAAN DAN KEARSIPAN,1,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,PENYANDANG DISABILITAS,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | DINAS PERHUBUNGAN,1,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"PEMERINTAH KABUPATEN KOTABARU | DINAS PERUMAHAN RAKYAT, PERMUKIMAN DAN PERTANAHAN",2,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | BADAN PERENCANAAN PEMBANGUNAN DAERAH,2,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,1,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | DINAS PERPUSTAKAAN DAN KEARSIPAN,1,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | SATUAN POLISI PAMONG PRAJA DAN PEMADAM KEBAKARAN,1,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | DINAS KESEHATAN | UPTD RUMAH SAKIT UMUM DAERAH SENGAYAM,2,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,1,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | DINAS PERHUBUNGAN,1,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | BADAN PENDAPATAN DAERAH,1,2785700,7166024
Pemerintah Kab. Kotabaru,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KOTABARU | DINAS SOSIAL,1,2785700,7166024
Pemerintah Kab. Kuantan Singingi,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KUANTAN SINGINGI | SEKRETARIAT DAERAH | ASISTEN ADMINISTRASI UMUM | BAGIAN ORGANISASI,1,3203600,5261500
Pemerintah Kab. Kuantan Singingi,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"PEMERINTAH KABUPATEN KUANTAN SINGINGI | DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN | BIDANG STATISTIK DAN PERSANDIAN",1,3203600,5261500
Pemerintah Kab. Kuantan Singingi,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"PEMERINTAH KABUPATEN KUANTAN SINGINGI | BADAN PERENCANAAN, PEMBANGUNAN DAERAH, PENELITIAN DAN PENGEMBANGAN | BIDANG PEREKONOMIAN, SUMBER DAYA ALAM, INFRASTRUKTUR DAN KEWILAYAHAN",1,3203600,5261500
Pemerintah Kab. Kuantan Singingi,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"PEMERINTAH KABUPATEN KUANTAN SINGINGI | DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN | BIDANG INFORMATIKA",1,3203600,5261500
Pemerintah Kab. Kutai Timur,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,PEMERINTAH KABUPATEN KUTAI TIMUR                                       | DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN | BIDANG PERUMAHAN UMUM,4,2785700,9834489
Pemerintah Kab. Kutai Timur,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,"PEMERINTAH KABUPATEN KUTAI TIMUR                                       | DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN | BIDANG PRASARANA, SARANA DAN UTILITAS UMUM",2,2785700,9834498
Pemerintah Kab. Kutai Timur,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,PEMERINTAH KABUPATEN KUTAI TIMUR                                       | DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN | BIDANG PERMUKIMAN,4,2785700,9834498
Pemerintah Kab. Kutai Timur,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,PEMERINTAH KABUPATEN KUTAI TIMUR                                       | DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN | BIDANG PERUMAHAN SWADAYA,2,2785700,9834489
Pemerintah Kab. Kutai Timur,CPNS,UMUM,PRANATA HUBUNGAN MASYARAKAT AHLI PERTAMA,PEMERINTAH KABUPATEN KUTAI TIMUR                                       | SEKRETARIAT DAERAH | ASSISTEN ADMINISTRASI UMUM | BAGIAN PROTOKOL DAN KOMUNIKASI PIMPINAN,2,2785700,9834489
Pemerintah Kab. Kutai Timur,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"PEMERINTAH KABUPATEN KUTAI TIMUR                                       | DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN | BIDANG INFORMASI, KOMUNIKASI PUBLIK DAN KEHUMASAN",1,2785700,9834489
Pemerintah Kab. Kutai Timur,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"PEMERINTAH KABUPATEN KUTAI TIMUR                                       | DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN | BIDANG APLIKASI INFORMATIKA",3,2785700,9834489
Pemerintah Kab. Kutai Timur,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KUTAI TIMUR                                       | SEKRETARIAT DAERAH | ASISTEN PEREKONOMIAN DAN PEMBANGUNAN | BAGIAN PENGADAAN BARANG DAN JASA,1,2785700,9834489
Pemerintah Kab. Kutai Timur,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN KUTAI TIMUR                                       | DINAS PERINDUSTRIAN DAN PERDAGANGAN | SEKRETARIAT,1,2785700,9834489
Pemerintah Kab. Labuhanbatu Utara,CPNS,UMUM,MANGGALA INFORMATIKA AHLI PERTAMA,PEMERINTAH KABUPATEN LABUHANBATU UTARA | DINAS KOMUNIKASI DAN INFORMATIKA | KELOMPOK JABATAN FUNGSIONAL,2,2785700,5261500
Pemerintah Kab. Labuhanbatu Utara,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN LABUHANBATU UTARA | BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA | KELOMPOK JABATAN FUNGSIONAL,2,2785700,5261500
Pemerintah Kab. Labuhanbatu Utara,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN LABUHANBATU UTARA | SEKRETARIAT DAERAH | ASISTEN PEMERINTAHAN DAN KESEJAHTERAAN RAKYAT | BAGIAN KESEJAHTERAAN MASYARAKAT | KELOMPOK JABATAN FUNGSIONAL,1,2785700,5261500
Pemerintah Kab. Labuhanbatu Utara,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN LABUHANBATU UTARA | DINAS KESEHATAN KAB. LABUHAN BATU UTARA | KELOMPOK JABATAN FUNGSIONAL,1,2785700,5261500
Pemerintah Kab. Labuhanbatu Utara,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN LABUHANBATU UTARA | SEKRETARIAT DAERAH | ASISTEN PEMERINTAHAN DAN KESEJAHTERAAN RAKYAT | BAGIAN HUKUM | KELOMPOK JABATAN FUNGSIONAL,1,2785700,5261500
Pemerintah Kab. Lamongan,CPNS,PENYANDANG DISABILITAS,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN LAMONGAN | DINAS LINGKUNGAN HIDUP | BIDANG TATA LINGKUNGAN,1,3000000,4500000
Pemerintah Kab. Lamongan,CPNS,PENYANDANG DISABILITAS,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN LAMONGAN | SEKRETARIAT DAERAH | ASISTEN EKONOMI DAN PEMBANGUNAN | BAGIAN PENGADAAN BARANG DAN JASA SEKRETARIAT DAERAH,1,3000000,4500000
Pemerintah Kab. Lamongan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,PEMERINTAH KABUPATEN LAMONGAN | SEKRETARIAT DAERAH | ASISTEN PEMERINTAHAN DAN KESEJAHTERAAN RAKYAT | BAGIAN TATA PEMERINTAHAN,1,3000000,4500000
